idlojista,idsku,lojista,cluster,mundo,idcompra,qtd_sku,qtd_pedidos_colocados,qtd_itens_colocados,qtd_itens_aprovados,qtd_pedidos_aprovados,valorcolocado,valoraprovado,taxa_aprovacao
30976,1501577654,10Estrela,AAA,Móveis,227608948,1,1,1,1,1,838.9700,838.9700,1.00000000
30976,1501701185,10Estrela,AAA,Móveis,227577355,9,9,9,4,4,6822.6000,2943.1000,0.43137514
30976,1504490104,10Estrela,AAA,Móveis,225779960,1,1,1,1,1,85.2700,85.2700,1.00000000
30976,1504539215,10Estrela,AAA,Móveis,228747400,1,1,1,1,1,131.6500,131.6500,1.00000000
10138,3988656,MegaMamute,AAA,Tecnologia,227101160,9,4,9,9,4,4770.3600,4770.3600,1.00000000
10138,1504000674,MegaMamute,AAA,Tecnologia,228257879,7,6,7,3,3,927.2400,391.3200,0.42202666
30976,9029911,10Estrela,AAA,Móveis,225456175,2,1,2,2,1,147.3200,147.3200,1.00000000
30976,11335905,10Estrela,AAA,Móveis,225758764,1,1,1,1,1,50.3300,50.3300,1.00000000
30976,12414960,10Estrela,AAA,Móveis,228197308,2,2,2,2,2,966.6800,966.6800,1.00000000
30976,13276350,10Estrela,AAA,Móveis,225751641,1,1,1,1,1,575.6800,575.6800,1.00000000
30976,1501667310,10Estrela,AAA,Móveis,227406009,4,4,4,2,2,665.5600,327.4400,0.49197668
30976,1502992194,10Estrela,AAA,Móveis,227063167,3,3,3,3,3,410.5200,410.5200,1.00000000
30976,1504185177,10Estrela,AAA,Móveis,226304165,4,4,4,3,3,368.2000,274.9600,0.74676806
10138,12896704,MegaMamute,AAA,Tecnologia,229688512,1,1,1,1,1,148.4200,148.4200,1.00000000
10138,1501653062,MegaMamute,AAA,Tecnologia,229109838,46,39,46,34,30,73115.7200,54101.2000,0.73993937
10138,1501657680,MegaMamute,AAA,Tecnologia,226792312,110,110,110,60,60,146891.6800,80074.8600,0.54512863
30976,2198135,10Estrela,AAA,Móveis,229135858,3,3,3,1,1,3860.3600,1372.7200,0.35559378
30976,2213806,10Estrela,AAA,Móveis,227580203,5,5,5,4,4,551.5300,442.3800,0.80209599
30976,6457028,10Estrela,AAA,Móveis,227165937,1,1,1,1,1,159.8000,159.8000,1.00000000
30976,7601519,10Estrela,AAA,Móveis,229371289,1,1,1,1,1,120.9000,120.9000,1.00000000
30976,11243609,10Estrela,AAA,Móveis,229560331,1,1,1,1,1,1646.9000,1646.9000,1.00000000
