idlojista,DtCriacaoProtocolo,DtFechamentoProtocolo,QtProtocolo,VrTotalProtocolo,VrTotalProtocoloAbsoluto,QtProtocoloAberto,QtProtocoloFechado,QtProtocoloSemResposta24Horas,QtProtocoloSemResposta48Horas,QtProtocoloReclamacao,QtProtocoloAbertoReclamacao,VrTotalProtocoloReclamacao,VrTotalProtocoloReclamacaoAbsoluto,QtTotalRecontato,QtTotalCanalEspecial,QtTotalFilaMarketPlace,QtTotalFilaLojista,TxReclamacao,DhAtualizacao,year_partition,month_partition,day_partition
30976,2020-09-03,null,1,220.12,220.12,1,0,1,1,1,1,220.12,220.12,1,0,0,1,1,2020-10-05T17:00:34.520+0000,2020,09,03
30976,2020-08-29,2020-09-09,3,-590.66,590.66,0,3,0,0,3,0,-590.66,590.66,4,0,0,0,1,2020-10-05T17:00:34.520+0000,2020,08,29
30976,2020-08-18,2020-09-10,1,-127.8,127.8,0,1,0,0,0,0,0,0,0,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,08,18
30976,2020-09-08,2020-09-10,2,1173.45,1327.35,0,2,0,0,2,0,1173.45,1327.35,2,1,0,1,1,2020-10-05T17:00:34.520+0000,2020,09,08
30976,2020-09-10,2020-09-20,1,742.33,742.33,0,1,0,0,0,0,0,0,0,1,0,0,0,2020-10-05T17:00:34.520+0000,2020,09,10
30976,2020-09-01,2020-09-02,1,177.8,177.8,0,1,0,0,0,0,0,0,0,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,09,01
30976,2020-08-25,2020-08-25,2,1139.18,1139.18,0,2,0,0,0,0,0,0,2,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,08,25
30976,2020-08-14,2020-09-16,1,990.57,990.57,0,1,0,0,1,0,990.57,990.57,3,0,0,0,1,2020-10-05T17:00:34.520+0000,2020,08,14
30976,2020-08-14,2020-09-05,1,76.32,76.32,0,1,0,0,1,0,76.32,76.32,1,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,08,14
30976,2020-07-25,2020-09-29,1,-270.59,270.59,0,1,0,0,1,0,-270.59,270.59,6,0,0,0,1,2020-10-05T17:00:34.520+0000,2020,07,25
30976,2020-07-24,2020-08-19,1,-89.46,89.46,0,1,0,0,1,0,-89.46,89.46,0,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,07,24
30976,2020-08-25,2020-09-03,4,2286.06,2515.34,0,4,0,0,2,0,2197.72,2197.72,0,0,3,0,0.5,2020-10-05T17:00:34.520+0000,2020,08,25
30976,2020-08-30,2020-08-30,1,202.48,202.48,0,1,0,0,1,0,202.48,202.48,1,0,0,0,1,2020-10-05T17:00:34.520+0000,2020,08,30
30976,2020-08-07,2020-09-08,2,902.15,902.15,0,2,0,0,0,0,0,0,0,0,2,0,0,2020-10-05T17:00:34.520+0000,2020,08,07
30976,2020-08-21,2020-08-21,1,216.64,216.64,0,1,0,0,0,0,0,0,1,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,08,21
30976,2020-09-05,2020-09-30,2,-742.89,742.89,0,2,0,0,2,0,-742.89,742.89,1,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,09,05
30976,2020-08-02,2020-09-04,1,-165.21,165.21,0,1,0,0,1,0,-165.21,165.21,2,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,08,02
30976,2020-08-26,2020-09-21,1,1084.65,1084.65,0,1,0,0,1,0,1084.65,1084.65,2,1,0,0,1,2020-10-05T17:00:34.520+0000,2020,08,26
30976,2020-09-17,2020-09-30,2,95.84,605.02,0,2,0,0,2,0,95.84,605.02,2,1,0,0,1,2020-10-05T17:00:34.520+0000,2020,09,17
30976,2020-08-13,2020-09-03,5,1284.17,2227.13,0,5,0,0,4,0,1193.83,2136.79,9,0,4,0,0.8,2020-10-05T17:00:34.520+0000,2020,08,13
30976,2020-09-14,2020-09-22,4,-1294.33,2260.11,0,4,0,0,4,0,-1294.33,2260.11,3,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,09,14
30976,2020-07-31,2020-09-18,1,-144.12,144.12,0,1,0,0,1,0,-144.12,144.12,1,1,0,0,1,2020-10-05T17:00:34.520+0000,2020,07,31
30976,2020-08-10,2020-09-09,1,1152.87,1152.87,0,1,0,0,1,0,1152.87,1152.87,3,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,08,10
30976,2020-09-04,2020-09-17,1,244.22,244.22,0,1,0,0,0,0,0,0,0,0,1,0,0,2020-10-05T17:00:34.520+0000,2020,09,04
30976,2020-08-14,2020-09-08,1,260.63,260.63,0,1,0,0,1,0,260.63,260.63,2,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,08,14
30976,2020-08-24,2020-09-09,3,-448.65,1107.21,0,3,0,0,3,0,-448.65,1107.21,3,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,08,24
30976,2020-07-24,2020-09-25,1,-515.32,515.32,0,1,0,0,1,0,-515.32,515.32,7,1,0,0,1,2020-10-05T17:00:34.520+0000,2020,07,24
30976,2020-08-14,2020-09-15,1,75.61,75.61,0,1,0,0,1,0,75.61,75.61,0,0,0,0,1,2020-10-05T17:00:34.520+0000,2020,08,14
30976,2020-08-06,2020-09-05,1,-310.9,310.9,0,1,0,0,1,0,-310.9,310.9,2,0,0,0,1,2020-10-05T17:00:34.520+0000,2020,08,06
30976,2020-09-19,2020-09-22,1,-277.28,277.28,0,1,0,0,0,0,0,0,0,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,09,19
30976,2020-08-12,2020-08-25,1,40.42,40.42,0,1,0,0,1,0,40.42,40.42,3,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,08,12
30976,2020-09-25,null,10,-1499.26,6664.26,10,0,10,5,4,4,1291.2,1721.6,9,0,0,7,0.4,2020-10-05T17:00:34.520+0000,2020,09,25
30976,2020-09-16,null,2,-321.25,321.25,2,0,2,2,2,2,-321.25,321.25,2,0,0,0,1,2020-10-05T17:00:34.520+0000,2020,09,16
30976,2020-08-22,2020-09-14,2,162.92,162.92,0,2,0,0,0,0,0,0,0,0,2,0,0,2020-10-05T17:00:34.520+0000,2020,08,22
30976,2020-08-14,2020-09-09,1,81.89,81.89,0,1,0,0,1,0,81.89,81.89,4,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,08,14
30976,2020-08-27,2020-09-27,1,-76.45,76.45,0,1,0,0,0,0,0,0,0,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,08,27
30976,2020-09-11,2020-09-24,2,-1119.26,1119.26,0,2,0,0,0,0,0,0,2,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,09,11
30976,2020-09-03,2020-09-12,3,708.45,935.19,0,3,0,0,0,0,0,0,0,0,2,0,0,2020-10-05T17:00:34.520+0000,2020,09,03
30976,2020-09-10,2020-09-14,2,939.17,939.17,0,2,0,0,2,0,939.17,939.17,0,0,2,0,1,2020-10-05T17:00:34.520+0000,2020,09,10
30976,2020-09-04,2020-09-15,2,-168.46,1451.12,0,2,0,0,0,0,0,0,2,0,1,0,0,2020-10-05T17:00:34.520+0000,2020,09,04
30976,2020-08-13,2020-09-17,2,-730.52,730.52,0,2,0,0,1,0,-166.21,166.21,7,1,0,0,0.5,2020-10-05T17:00:34.520+0000,2020,08,13
30976,2020-09-27,2020-09-27,6,1191.85,1920.09,0,6,0,0,1,0,350.43,350.43,1,1,0,0,0.1667,2020-10-05T17:00:34.520+0000,2020,09,27
30976,2020-08-01,2020-09-19,1,-578.32,578.32,0,1,0,0,1,0,-578.32,578.32,3,0,0,0,1,2020-10-05T17:00:34.520+0000,2020,08,01
30976,2020-09-23,2020-09-30,19,51.59,6101.93,0,19,0,0,14,0,-548.75,5501.59,12,0,11,1,0.7368,2020-10-05T17:00:34.520+0000,2020,09,23
30976,2020-05-06,2020-05-06,1,1159.9,1159.9,0,1,0,0,1,0,1159.9,1159.9,1,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,05,06
30976,2020-09-08,2020-09-13,1,326.29,326.29,0,1,0,0,1,0,326.29,326.29,2,0,0,1,1,2020-10-05T17:00:34.520+0000,2020,09,08
30976,2020-09-22,2020-09-25,4,1657.12,1821.6,0,4,0,0,4,0,1657.12,1821.6,1,0,0,2,1,2020-10-05T17:00:34.520+0000,2020,09,22
30976,2020-09-02,2020-09-04,7,6092.46,6683.8,0,7,0,0,7,0,6092.46,6683.8,3,1,6,0,1,2020-10-05T17:00:34.520+0000,2020,09,02
30976,2020-08-28,2020-08-28,1,175.21,175.21,0,1,0,0,0,0,0,0,1,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,08,28
30976,2020-09-09,2020-09-30,1,-1452.3,1452.3,0,1,0,0,1,0,-1452.3,1452.3,2,0,1,0,1,2020-10-05T17:00:34.520+0000,2020,09,09
30976,2020-09-04,2020-09-06,1,448.71,448.71,0,1,0,0,0,0,0,0,0,0,0,0,0,2020-10-05T17:00:34.520+0000,2020,09,04
30976,2020-09-17,2020-09-24,6,2080.54,3210.68,0,6,0,0,3,0,318.27,1448.41,4,1,4,0,0.5,2020-10-05T17:00:34.520+0000,2020,09,17
