idlojista,DtPedidoVenda,dataprometida,lojista,cluster,mundo,qtd_pedidos_colocados,qtd_itens_colocados,qtd_pedidos_aprovados,qtd_itens_aprovados,valorcolocado,valoraprovado,status_lojista,qtd_pedidos_atrasados_envio,valor_pedidos_atrasados_envio,qtd_pedidos_atraso_entrega,valor_pedidos_atraso_entrega,qtd_itens_no_prazo,qtd_itens_risco_atraso,qtd_itens_altorisco_atraso,qtd_itens_enviados,qtd_itens_entregues,qtd_itens_cancelados,qtd_itens_devolvidos,qtd_sku_distinto,qtd_sku,taxa_aprovacao
30976,2020-08-16,2020-08-24,10Estrela,AAA,Móveis,2,2,1,1,665.4200,560.4500,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,2,2,0.84225001
30976,2020-08-17,2020-09-29,10Estrela,AAA,Móveis,2,2,1,1,624.2700,495.3100,ativo,0,0.0000,0,0.0000,0,1,0,0,0,0,0,2,2,0.79342272
30976,2020-08-18,2020-09-10,10Estrela,AAA,Móveis,22,23,13,14,7511.4300,3649.9500,ativo,0,0.0000,0,0.0000,0,0,1,1,13,0,0,21,23,0.48591946
30976,2020-08-19,2020-09-16,10Estrela,AAA,Móveis,4,5,3,4,2447.3300,1517.6600,ativo,0,0.0000,0,0.0000,0,0,2,2,2,0,0,4,5,0.62012888
30976,2020-08-19,2020-11-11,10Estrela,AAA,Móveis,2,2,1,1,949.5400,474.7700,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,1,2,0.50000000
30976,2020-08-21,2020-09-11,10Estrela,AAA,Móveis,2,2,1,1,796.6200,506.9800,ativo,0,0.0000,0,0.0000,0,0,1,1,0,0,0,2,2,0.63641385
30976,2020-08-29,2020-09-09,10Estrela,AAA,Móveis,22,24,17,18,6566.1300,4282.2300,ativo,0,0.0000,1,242.2300,0,0,0,1,17,0,0,19,24,0.65216954
30976,2020-08-30,2020-09-30,10Estrela,AAA,Móveis,2,2,0,0,542.3900,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,2,2,0E-8
30976,2020-08-12,2020-09-14,10Estrela,AAA,Móveis,5,5,4,4,2226.4000,1932.4300,ativo,0,0.0000,0,0.0000,0,0,1,1,3,0,0,5,5,0.86796173
10138,2020-08-15,2020-09-02,MegaMamute,AAA,Tecnologia,7,7,4,4,6974.8200,4146.4100,ativo,0,0.0000,1,1357.0500,0,0,0,0,3,1,0,7,7,0.59448273
30976,2020-08-07,2020-08-21,10Estrela,AAA,Móveis,4,5,3,3,548.1300,384.3800,ativo,0,0.0000,1,176.9600,0,0,0,1,2,0,0,5,5,0.70125700
30976,2020-08-14,2020-09-09,10Estrela,AAA,Móveis,30,32,21,23,17691.9700,15684.1500,ativo,1,356.3000,4,4099.1300,0,0,0,3,19,0,0,26,32,0.88651236
30976,2020-08-14,2020-10-15,10Estrela,AAA,Móveis,1,1,0,0,238.8300,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,1,1,0E-8
30976,2020-08-22,2020-09-14,10Estrela,AAA,Móveis,8,9,6,7,2541.6800,2012.7800,ativo,0,0.0000,0,0.0000,0,0,4,2,3,0,0,6,9,0.79190929
10138,2020-08-01,2020-08-18,MegaMamute,AAA,Tecnologia,40,40,24,24,45210.2100,27528.8800,ativo,0,0.0000,0,0.0000,0,0,0,0,23,1,0,11,40,0.60890847
10138,2020-08-18,2020-09-08,MegaMamute,AAA,Tecnologia,7,7,4,4,11131.5100,6478.5400,ativo,0,0.0000,1,1925.6800,0,0,0,1,3,0,0,6,7,0.58200011
10138,2020-08-20,2020-09-17,MegaMamute,AAA,Tecnologia,3,3,1,1,5074.1000,1314.8600,ativo,0,0.0000,0,0.0000,0,1,0,1,0,0,0,3,3,0.25913167
30976,2020-08-01,2020-08-20,10Estrela,AAA,Móveis,2,2,2,2,652.4600,652.4600,ativo,0,0.0000,1,193.0500,0,0,0,1,1,0,0,2,2,1.00000000
30976,2020-08-01,2020-09-28,10Estrela,AAA,Móveis,1,1,0,0,1771.5200,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,1,1,0E-8
30976,2020-08-08,2020-10-13,10Estrela,AAA,Móveis,1,1,1,1,172.7300,172.7300,ativo,0,0.0000,0,0.0000,1,0,0,0,0,0,0,1,1,1.00000000
30976,2020-08-09,2020-08-27,10Estrela,AAA,Móveis,12,12,9,9,3443.8400,2556.9800,ativo,0,0.0000,1,58.6000,0,0,0,0,9,0,0,10,12,0.74247933
30976,2020-08-18,2020-10-06,10Estrela,AAA,Móveis,5,5,4,4,1455.3700,1245.5200,ativo,0,0.0000,0,0.0000,4,0,0,3,0,0,0,4,5,0.85580986
30976,2020-08-26,2020-10-22,10Estrela,AAA,Móveis,1,1,1,1,508.5800,508.5800,ativo,0,0.0000,0,0.0000,1,0,0,0,0,0,0,1,1,1.00000000
30976,2020-08-03,2020-08-26,10Estrela,AAA,Móveis,8,9,5,6,2390.8500,1149.4600,ativo,0,0.0000,3,639.9500,0,0,0,2,4,0,0,7,9,0.48077462
30976,2020-08-03,2020-08-28,10Estrela,AAA,Móveis,8,8,7,7,3199.5500,3051.6700,ativo,0,0.0000,0,0.0000,0,0,0,0,7,0,0,7,8,0.95378100
30976,2020-08-16,2020-10-30,10Estrela,AAA,Móveis,1,1,1,1,406.8500,406.8500,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,1,1,1.00000000
30976,2020-08-21,2020-09-14,10Estrela,AAA,Móveis,7,7,6,6,2943.4000,2617.7200,ativo,0,0.0000,0,0.0000,0,0,5,2,1,0,0,5,7,0.88935245
30976,2020-08-29,2020-09-15,10Estrela,AAA,Móveis,10,11,6,6,6713.9800,3965.1000,ativo,0,0.0000,0,0.0000,0,4,0,4,2,0,0,7,11,0.59057370
10138,2020-08-18,2020-09-28,MegaMamute,AAA,Tecnologia,2,2,0,0,612.7000,0.0000,ativo,0,0.0000,0,0.0000,0,0,0,0,0,0,0,2,2,0E-8
10138,2020-08-20,2020-09-07,MegaMamute,AAA,Tecnologia,33,38,17,19,65149.6500,29292.2200,ativo,1,1337.9000,4,7335.8300,0,0,0,1,15,2,0,13,38,0.44961439
10138,2020-08-24,2020-09-04,MegaMamute,AAA,Tecnologia,27,27,21,21,32803.0800,25185.6800,ativo,0,0.0000,2,3429.6100,0,0,0,1,19,1,0,13,27,0.76778400
30976,2020-08-02,2020-08-27,10Estrela,AAA,Móveis,11,11,8,8,8599.9000,5901.4800,ativo,0,0.0000,0,0.0000,0,0,0,0,8,0,0,11,11,0.68622658
30976,2020-08-09,2020-09-16,10Estrela,AAA,Móveis,2,2,1,1,1480.4100,156.9000,ativo,0,0.0000,0,0.0000,0,0,1,1,0,0,0,2,2,0.10598415
30976,2020-08-19,2020-09-30,10Estrela,AAA,Móveis,4,6,2,2,3706.9700,3473.7500,ativo,0,0.0000,0,0.0000,1,1,0,1,0,0,0,4,6,0.93708608
30976,2020-08-26,2020-09-24,10Estrela,AAA,Móveis,1,1,1,1,39.0200,39.0200,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,1,1,1.00000000
10138,2020-08-10,2020-09-02,MegaMamute,AAA,Tecnologia,4,4,1,1,3171.2100,1336.6700,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,3,4,0.42150157
10138,2020-08-22,2020-09-09,MegaMamute,AAA,Tecnologia,15,15,8,8,22137.6100,10490.3500,ativo,0,0.0000,0,0.0000,0,0,0,0,8,0,0,7,15,0.47387003
10138,2020-08-29,2020-09-21,MegaMamute,AAA,Tecnologia,1,1,1,1,2847.9000,2847.9000,ativo,0,0.0000,0,0.0000,0,0,0,0,1,0,0,1,1,1.00000000
