ID Loja;Lojista;Cluster;Mundo;Responsável
11866;MARTINELI FERRAMENTAS;A;Cauda Longa;Suporte
11353;W8 Acessórios;A;Cauda Longa;Suporte
11504;Blubelle;A;Cauda Longa;Ana Pontes
13853;Tecnomidia;A;Cauda Longa;Ana Pontes
11192;FBSHOP;A;Cauda Longa;Ana Pontes
11099;Atacadão do Lar;A;Móveis;Ana pontes
10228;OZ! Organize;A;Cauda Longa;Suporte
11049;BringIT;A;Cauda Longa;Suporte
10956;Petvirtual;AA;Cauda Longa;Ana Pontes
10818;Masada;A;Cauda Longa;Suporte
11658;Wishhouse;A;Móveis;Ana pontes
10279;Palácio da Arte;A;Cauda Longa;Ana Pontes
10187;Alexshoes;AAA;Cauda Longa;Marcella
11304;BD Net Imports;A;Tecnologia;Ana pontes
10044;PIPPERJOIAS;A;Cauda Longa;Suporte
11961;Eletroamazonia;AA;Tecnologia;Ana pontes
10915;Lagos & Cia;A;Cauda Longa;Ana Pontes
10240;Universal Presentes;A;Cauda Longa;Ana Pontes
11475;Tire Store;AAA;Cauda Longa;Patricia
10071;SOSUPLEMENTOS;A;Cauda Longa;Suporte
10714;JogaPlay;A;Móveis;Suporte
11176;BOM GOSTO ENXOVAIS;A;Cauda Longa;Suporte
10121;DELGRANI.COM.BR;A;Cauda Longa;Ana Pontes
10097;SAUDEJA;A;Cauda Longa;Ana Pontes
10018;MEUSACESSORIOSAPPLE;A;Cauda Longa;Suporte
10964;Nikkey;A;Cauda Longa;Ana Pontes
11309;Sublime Cosméticos;A;Cauda Longa;Suporte
11123;Ibitinga Enxoval;A;Cauda Longa;Ana Pontes
10766;DKWStore;A;Cauda Longa;Ana Pontes
10724;Huble;A;Cauda Longa;Ana Pontes
10752;UD Market;A;Cauda Longa;Ana Pontes
10033;SHOPLUXO;A;Cauda Longa;Suporte
11117;Car Fashion Capas;A;Cauda Longa;Suporte
10063;ELENS;A;Cauda Longa;Ana Pontes
11315;LOCTEK;A;Cauda Longa;Suporte
10434;Fellowes;A;Cauda Longa;Suporte
10496;Toner Vale;A;Cauda Longa;Ana Pontes
10314;Cinerama;A;Cauda Longa;Suporte
11954;GuitiShop;A;Cauda Longa;Suporte
13995;Famasom;A;Cauda Longa;Ana Pontes
